main_sound,level,hanja,meaning,radical,strokes,total_strokes
뉴,특급Ⅱ,杻,"[[['싸리'], ['뉴']], [['수갑'], ['추']]]",木,4,8
단,특급Ⅱ,亶,"[[['진실로'], ['단']]]",亠,11,13
단,특급Ⅱ,彖,"[[['판단할'], ['단']]]",彐,6,9
단,특급Ⅱ,袒,"[[['옷벗어멜'], ['단']]]",衣,5,10
단,특급Ⅱ,鄲,"[[['한단'], ['단']]]",邑,12,15
달,특급Ⅱ,獺,"[[['수달'], ['달']]]",犬,16,19
달,특급Ⅱ,澾,"[[['미끄러울'], ['달']]]",水,13,16
담,특급Ⅱ,錟,"[[['창'], ['담']]]",金,8,16
담,특급Ⅱ,坍,"[[['무너질'], ['담']]]",土,4,7
담,특급Ⅱ,啖,"[[['씹을'], ['담']]]",口,8,11
담,특급Ⅱ,覃,"[[['깊을'], ['담']]]",襾,6,12
담,특급Ⅱ,蕁,"[[['지모'], ['담']], [['쐐기풀'], ['심']]]",艸,12,16
담,특급Ⅱ,聃,"[[['귓바퀴없을'], ['담']]]",耳,5,11
담,특급Ⅱ,湛,"[[['즐길'], ['담']], [['잠길'], ['잠']]]",水,9,12
답,특급Ⅱ,沓,"[[['겹칠'], ['답']]]",水,4,8
당,특급Ⅱ,戇,"[[['어리석을'], ['당']]]",心,24,28
당,특급Ⅱ,幢,"[[['기'], ['당']]]",巾,12,15
대,특급Ⅱ,黛,"[[['눈썹그릴'], ['대']]]",黑,5,17
대,특급Ⅱ,岱,"[[['산이름'], ['대']]]",山,5,8
대,특급Ⅱ,坮,"[[['돈대'], ['대']]]",土,5,8
대,특급Ⅱ,玳,"[[['대모(玳瑁)'], ['대']]]",玉,5,9
도,특급Ⅱ,嶋,"[[['섬'], ['도']]]",山,11,14
도,특급Ⅱ,覩,"[[['볼'], ['도']]]",見,9,16
도,특급Ⅱ,韜,"[[['감출'], ['도']]]",韋,10,19
도,특급Ⅱ,櫂,"[[['상앗대'], ['도']]]",木,14,18
도,특급Ⅱ,棹,"[[['노'], ['도']], [['책상'], ['탁']]]",木,8,12
독,특급Ⅱ,犢,"[[['송아지'], ['독']]]",牛,15,19
독,특급Ⅱ,牘,"[[['편지'], ['독']]]",片,15,19
독,특급Ⅱ,纛,"[[['둑[儀仗旗]'], ['독']]]",糸,19,25
돈,특급Ⅱ,暾,"[[['해돋을'], ['돈']]]",日,12,16
돈,특급Ⅱ,遯,"[[['도망할'], ['돈']], [['도망할'], ['둔']]]",辵,11,15
돈,특급Ⅱ,旽,"[[['밝을'], ['돈']]]",日,4,8
돈,특급Ⅱ,墩,"[[['돈대'], ['돈']]]",土,12,15
돈,특급Ⅱ,焞,"[[['어스름할'], ['돈']], [['성할'], ['퇴']]]",火,8,12
동,특급Ⅱ,仝,"[[['한가지[同]'], ['동']]]",人,3,5
동,특급Ⅱ,潼,"[[['물이름'], ['동']]]",水,12,15
두,특급Ⅱ,竇,"[[['구멍'], ['두']]]",穴,15,20
두,특급Ⅱ,荳,"[[['팥'], ['두']]]",艸,7,11
두,특급Ⅱ,逗,"[[['머무를'], ['두']]]",辵,7,11
두,특급Ⅱ,枓,"[[['주두'], ['두']]]",木,4,8
둔,특급Ⅱ,芚,"[[['싹돋을'], ['둔']]]",艸,4,8
등,특급Ⅱ,嶝,"[[['고개'], ['등']]]",山,12,15
라,특급Ⅱ,喇,"[[['나팔'], ['라']]]",口,9,12
라,특급Ⅱ,蘿,"[[['담쟁이'], ['라']]]",艸,19,23
락,특급Ⅱ,珞,"[[['구슬'], ['락']]]",玉,6,10
란,특급Ⅱ,欒,"[[['단란할'], ['란']]]",木,19,23
람,특급Ⅱ,嵐,"[[['아지랑이'], ['람']]]",山,9,12
람,특급Ⅱ,襤,"[[['남루할'], ['람']]]",衣,14,19
람,특급Ⅱ,擥,"[[['잡을[攬]'], ['람']]]",手,14,18
람,특급Ⅱ,攬,"[[['잡을'], ['람']]]",手,21,24
람,특급Ⅱ,纜,"[[['닻줄'], ['람']]]",糸,21,27
람,특급Ⅱ,欖,"[[['감람나무'], ['람']]]",木,21,25
랑,특급Ⅱ,螂,"[[['사마귀'], ['랑']]]",虫,10,16
랑,특급Ⅱ,琅,"[[['옥소리'], ['랑']]]",玉,7,11
랑,특급Ⅱ,瑯,"[[['법랑'], ['랑']]]",玉,10,14
래,특급Ⅱ,崍,"[[['산이름'], ['래']]]",山,8,11
래,특급Ⅱ,徠,"[[['올'], ['래']]]",彳,8,11
량,특급Ⅱ,粮,"[[['양식'], ['량']]]",米,7,13
